Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Inheritance::ClassMethods#finder_needs_type_condition? 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Relation#initialize 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Core::ClassMethods#predicate_builder 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Core::ClassMethods#arel_table 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Delegation::DelegateCache#relation_delegate_class 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Delegation::ClassMethods#relation_class_for 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Delegation::ClassMethods#create 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Core::ClassMethods#relation 
   NaN      0.000     0.000     0.000     0.000      150   Module#<= 
   NaN      0.000     0.000     0.000     0.000      150   ActiveRecord::Inheritance::ClassMethods#abstract_class? 
   NaN      0.000     0.000     0.000     0.000      250   Class#superclass 
   NaN      0.000     0.000     0.000     0.000      100   Module#< 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Inheritance::ClassMethods#base_class 
   NaN      0.000     0.000     0.000     0.000      250   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type! 
   NaN      0.000     0.000     0.000     0.000      150   ActiveRecord::Scoping::ScopeRegistry#value_for 
   NaN      0.000     0.000     0.000     0.000      150   <Class::ActiveRecord::Scoping::ScopeRegistry>#value_for 
   NaN      0.000     0.000     0.000     0.000      150   ActiveRecord::Scoping::ClassMethods#current_scope 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Scoping::Named::ClassMethods#all 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Querying#includes 
   NaN      0.000     0.000     0.000     0.000       50   AuthorsController#index 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::BasicImplicitRender#send_action 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Base#process_action 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::DetailsCache#_set_detail 
   NaN      0.000     0.000     0.000     0.000      100   BasicObject#!= 
   NaN      0.000     0.000     0.000     0.000      300   Array#empty? 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::LookupContext::Accessors#formats= 
   NaN      0.000     0.000     0.000     0.000      200   Array#== 
   NaN      0.000     0.000     0.000     0.000      200   Symbol#== 
   NaN      0.000     0.000     0.000     0.000      150   Array#delete 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::LookupContext#formats= 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::ViewPaths#formats= 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#process_action 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#committed? 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Metal#performed? 
   NaN      0.000     0.000     0.000     0.000       50   #<Class:0x00007fc0f2970058>#allow_forgery_protection 
   NaN      0.000     0.000     0.000     0.000      150   ActiveSupport::InheritableOptions#initialize 
   NaN      0.000     0.000     0.000     0.000      100   ActiveSupport::InheritableOptions#inheritable_copy 
   NaN      0.000     0.000     0.000     0.000      200   ActiveSupport::Configurable#config 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Base#allow_forgery_protection 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::RequestForgeryProtection#protect_against_forgery? 
